,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
0,2024-03-01 04:00:00,ЭДГ-1/3,51.4
1,2024-03-01 07:05:00,АСН-6,21
2,2024-03-01 10:00:00,ЭДГ-1/3,23.4
3,2024-03-01 12:30:00,АСН-6,21
4,2024-03-01 16:00:00,ЭДГ-1/3,21.1
5,2024-03-01 22:00:00,ЭДГ-1/3,42.8
6,2024-03-02 04:00:00,ЭДГ-1/3,41.1
7,2024-03-02 07:10:00,АСН-6,21.1
8,2024-03-02 10:00:00,ЭДГ-1/3,27
9,2024-03-02 13:10:00,АСН-6,20.5
10,2024-03-02 16:00:00,ЭДГ-1/3,25.8
11,2024-03-02 22:00:00,ЭДГ-1/3,32.5
12,2024-03-03 04:00:00,ЭДГ-1/3,49.9
13,2024-03-03 07:05:00,АСН-6,28.1
14,2024-03-03 10:00:00,ЭДГ-1/3,23.4
15,2024-03-03 16:00:00,ЭДГ-1/3,24.6
16,2024-03-03 22:00:00,ЭДГ-1/3,32.4
17,2024-03-04 04:00:00,ЭДГ-1/3,25.6
18,2024-03-04 07:10:00,АСН-6,22.3
19,2024-03-04 10:00:00,ЭДГ-1/3,28.1
20,2024-03-04 13:10:00,АСН-6,21.1
21,2024-03-04 16:00:00,ЭДГ-1/3,29.3
22,2024-03-04 22:00:00,ЭДГ-1/3,31.7
23,2024-03-05 04:00:00,ЭДГ-1/3,24.5
24,2024-03-05 07:05:00,АСН-6,20.5
25,2024-03-05 10:00:00,ЭДГ-1/3,23.4
26,2024-03-05 16:00:00,ЭДГ-1/3,20.5
27,2024-03-05 22:00:00,ЭДГ-1/3,45
28,2024-03-06 04:00:00,ЭДГ-1/3,51.6
29,2024-03-06 07:10:00,АСН-6,23.4
30,2024-03-06 10:00:00,ЭДГ-1/3,64.4
31,2024-03-06 12:40:00,АСН-6,32.8
32,2024-03-06 16:00:00,ЭДГ-1/3,46.8
33,2024-03-06 19:00:00,ЭДГ-1/3,46.9
34,2024-03-06 22:00:00,ЭДГ-1/3,99.6
35,2024-03-07 01:00:00,ЭДГ-1/3,82
36,2024-03-07 04:00:00,ЭДГ-1/3,82.6
37,2024-03-07 06:30:00,АСН-6,23.9
38,2024-03-07 07:00:00,ЭДГ-1/3,41.9
39,2024-03-07 10:00:00,ЭДГ-1/3,35.9
40,2024-03-07 13:00:00,ЭДГ-1/3,77.7
41,2024-03-07 13:05:00,АСН-6,41.9
42,2024-03-07 16:00:00,ЭДГ-1/3,35.9
43,2024-03-07 22:00:00,ЭДГ-1/3,59.8
44,2024-03-08 02:00:00,ЭДГ-1/3,50.9
45,2024-03-08 04:00:00,ЭДГ-1/3,52.4
46,2024-03-08 10:00:00,ЭДГ-1/3,35.9
47,2024-03-08 13:00:00,ЭДГ-1/3,33.5
48,2024-03-08 13:35:00,АСН-6,26.3
49,2024-03-08 16:00:00,ЭДГ-1/3,31.1
50,2024-03-08 19:00:00,ЭДГ-1/3,65.8
51,2024-03-08 22:00:00,ЭДГ-1/3,59.8
52,2024-03-09 01:00:00,ЭДГ-1/3,65.8
53,2024-03-09 02:00:00,АСН-6,41.9
54,2024-03-09 04:00:00,ЭДГ-1/3,59.8
55,2024-03-09 07:00:00,ЭДГ-1/3,64
56,2024-03-09 10:00:00,ЭДГ-1/3,61.6
57,2024-03-09 13:00:00,ЭДГ-1/3,52.6
58,2024-03-09 16:00:00,ЭДГ-1/3,37.1
59,2024-03-09 22:00:00,ЭДГ-1/3,44.8
60,2024-03-10 01:00:00,АСН-6,50.1
61,2024-03-10 04:00:00,ЭДГ-1/3,52.7
62,2024-03-10 09:10:00,АСН-6,23.2
63,2024-03-10 10:00:00,ЭДГ-1/3,22.7
64,2024-03-10 16:00:00,ЭДГ-1/3,25.8
65,2024-03-10 22:00:00,ЭДГ-1/3,32.2
66,2024-03-11 01:00:00,АСН-6,28.2
67,2024-03-11 04:00:00,ЭДГ-1/3,33.8
68,2024-03-11 08:20:00,АСН-6,24.2
69,2024-03-11 10:00:00,ЭДГ-1/3,24.8
70,2024-03-11 16:00:00,ЭДГ-1/3,27.6
71,2024-03-11 22:00:00,ЭДГ-1/3,36.6
72,2024-03-12 01:00:00,АСН-6,26.2
73,2024-03-12 04:00:00,ЭДГ-1/3,39.4
74,2024-03-12 10:00:00,ЭДГ-1/3,41.8
75,2024-03-12 10:20:00,АСН-6,39.1
76,2024-03-12 16:00:00,ЭДГ-1/3,22.7
77,2024-03-12 22:00:00,ЭДГ-1/3,29.9
78,2024-03-13 01:00:00,АСН-6,32.9
79,2024-03-13 04:00:00,ЭДГ-1/3,20.9
80,2024-03-13 10:00:00,ЭДГ-1/3,33.5
81,2024-03-13 16:00:00,ЭДГ-1/3,31.1
82,2024-03-13 19:00:00,ЭДГ-1/3,35.9
83,2024-03-13 21:00:00,ЭДГ-1/3,298.9
84,2024-03-13 21:15:00,АСН-6,53.8
85,2024-03-13 22:00:00,ЭДГ-1/3,304.8
86,2024-03-13 23:00:00,ЭДГ-1/3,322.8
87,2024-03-13 00:00:00,ЭДГ-1/3,113.6
88,2024-03-14 02:00:00,ЭДГ-1/3,59.8
89,2024-03-14 04:00:00,ЭДГ-1/3,53.8
90,2024-03-14 07:00:00,АСН-6,37.1
91,2024-03-14 10:00:00,ЭДГ-1/3,26.3
92,2024-03-14 13:00:00,ЭДГ-1/3,53.8
93,2024-03-14 15:00:00,АСН-6,22.1
94,2024-03-14 16:00:00,ЭДГ-1/3,22.7
95,2024-03-14 22:00:00,ЭДГ-1/3,38.9
96,2024-03-15 01:00:00,АСН-6,59.8
97,2024-03-15 01:00:00,ЭДГ-1/3,89.7
98,2024-03-15 02:00:00,ЭДГ-1/3,59.8
99,2024-03-15 03:00:00,ЭДГ-1/3,47.8
100,2024-03-15 04:00:00,ЭДГ-1/3,62.8
101,2024-03-15 07:00:00,ЭДГ-1/3,43
102,2024-03-15 07:30:00,АСН-6,41.8
103,2024-03-15 10:00:00,ЭДГ-1/3,43
104,2024-03-15 13:00:00,ЭДГ-1/3,71.7
105,2024-03-15 16:00:00,ЭДГ-1/3,68.7
106,2024-03-15 22:00:00,ЭДГ-1/3,35.9
107,2024-03-16 01:00:00,АСН-6,29.9
108,2024-03-16 04:00:00,ЭДГ-1/3,41.8
109,2024-03-16 10:00:00,ЭДГ-1/3,22.1
110,2024-03-16 10:30:00,АСН-6,22.1
111,2024-03-16 16:00:00,ЭДГ-1/3,27.2
112,2024-03-16 22:00:00,ЭДГ-1/3,35.9
113,2024-03-17 01:00:00,АСН-6,59.8
114,2024-03-17 04:00:00,ЭДГ-1/3,56.8
115,2024-03-17 07:50:00,АСН-6,88.1
116,2024-03-17 13:00:00,ЭДГ-1/3,58
117,2024-03-17 15:00:00,ЭДГ-1/3,28.4
118,2024-03-17 17:00:00,ЭДГ-1/3,22.5
119,2024-03-17 19:00:00,ЭДГ-1/3,23.9
120,2024-03-17 22:00:00,ЭДГ-1/3,38.9
121,2024-03-18 01:00:00,ЭДГ-1/3,35.9
122,2024-03-18 01:00:00,АСН-6,29.9
123,2024-03-18 04:00:00,ЭДГ-1/3,47.8
124,2024-03-18 07:00:00,ЭДГ-1/3,21.9
125,2024-03-18 07:00:00,АСН-6,21.3
126,2024-03-18 10:00:00,ЭДГ-1/3,27.2
127,2024-03-18 16:00:00,ЭДГ-1/3,24.9
128,2024-03-18 22:00:00,ЭДГ-1/3,23.9
129,2024-03-19 01:00:00,АСН-6,47.8
130,2024-03-19 04:00:00,ЭДГ-1/3,23.9
131,2024-03-19 08:10:00,АСН-6,21.9
132,2024-03-19 10:00:00,ЭДГ-1/3,22.5
133,2024-03-19 16:00:00,ЭДГ-1/3,21.9
134,2024-03-19 22:00:00,ЭДГ-1/3,41.8
135,2024-03-20 01:00:00,АСН-6,41.8
136,2024-03-20 04:00:00,ЭДГ-1/3,29.9
137,2024-03-20 10:00:00,ЭДГ-1/3,30.8
138,2024-03-20 10:50:00,АСН-6,21.3
139,2024-03-20 16:00:00,ЭДГ-1/3,28.4
140,2024-03-20 18:00:00,ЭДГ-1/3,53.8
141,2024-03-20 20:00:00,ЭДГ-1/3,32.9
142,2024-03-20 22:00:00,ЭДГ-1/3,41.8
143,2024-03-21 00:00:00,ЭДГ-1/3,38.9
144,2024-03-21 01:00:00,АСН-6,47.8
145,2024-03-21 02:00:00,ЭДГ-1/3,29.9
146,2024-03-21 04:00:00,ЭДГ-1/3,35.9
147,2024-03-21 06:00:00,ЭДГ-1/3,21.3
148,2024-03-21 08:00:00,ЭДГ-1/3,21.9
149,2024-03-21 10:00:00,ЭДГ-1/3,21.9
150,2024-03-21 12:00:00,ЭДГ-1/3,31
151,2024-03-21 14:00:00,ЭДГ-1/3,27.2
152,2024-03-21 16:00:00,ЭДГ-1/3,23.7
153,2024-03-21 18:00:00,ЭДГ-1/3,35.9
154,2024-03-21 20:00:00,ЭДГ-1/3,29.9
155,2024-03-21 22:00:00,ЭДГ-1/3,41.8
156,2024-03-22 00:00:00,ЭДГ-1/3,47.8
157,2024-03-22 01:00:00,АСН-6,32.9
158,2024-03-22 02:00:00,ЭДГ-1/3,29.9
159,2024-03-22 06:00:00,ЭДГ-1/3,22.5
160,2024-03-22 08:00:00,ЭДГ-1/3,25.4
161,2024-03-22 09:00:00,АСН-6,21.3
162,2024-03-22 10:00:00,ЭДГ-1/3,22.5
163,2024-03-22 12:00:00,ЭДГ-1/3,23.1
164,2024-03-22 13:00:00,ЭДГ-1/3,21.3
165,2024-03-22 16:00:00,ЭДГ-1/3,27.2
166,2024-03-22 22:00:00,ЭДГ-1/3,50.8
167,2024-03-23 01:00:00,АСН-6,26.9
168,2024-03-23 04:00:00,ЭДГ-1/3,32.9
169,2024-03-23 10:00:00,ЭДГ-1/3,28.9
170,2024-03-23 16:00:00,ЭДГ-1/3,24.8
171,2024-03-23 22:00:00,ЭДГ-1/3,42.6
172,2024-03-24 04:00:00,ЭДГ-1/3,32
173,2024-03-24 10:00:00,ЭДГ-1/3,30.8
174,2024-03-24 13:00:00,ЭДГ-1/3,23.6
175,2024-03-24 16:00:00,ЭДГ-1/3,24.8
176,2024-03-24 22:00:00,ЭДГ-1/3,33.2
177,2024-03-25 01:05:00,АСН-6,23.7
178,2024-03-25 04:00:00,ЭДГ-1/3,26
179,2024-03-25 10:00:00,ЭДГ-1/3,24.6
180,2024-03-25 14:30:00,АСН-6,28.1
181,2024-03-25 16:00:00,ЭДГ-1/3,21.4
182,2024-03-26 00:30:00,АСН-6,47.3
183,2024-03-26 04:00:00,ЭДГ-1/3,42.6
184,2024-03-26 10:00:00,ЭДГ-1/3,21.3
185,2024-03-26 14:30:00,АСН-6,20.6
186,2024-03-26 16:00:00,ЭДГ-1/3,29.6
187,2024-03-26 22:00:00,ЭДГ-1/3,23.6
188,2024-03-27 01:00:00,ЭДГ-1/3,63.9
189,2024-03-27 01:10:00,АСН-6,26
190,2024-03-27 04:00:00,ЭДГ-1/3,21.3
191,2024-03-27 10:00:00,ЭДГ-1/3,23.6
192,2024-03-27 14:00:00,АСН-6,33.1
193,2024-03-27 15:00:00,ЭДГ-1/3,21.3
194,2024-03-27 17:00:00,ЭДГ-1/3,20.1
195,2024-03-27 19:00:00,ЭДГ-1/3,37.9
196,2024-03-27 21:00:00,ЭДГ-1/3,40.2
197,2024-03-27 23:00:00,ЭДГ-1/3,45
198,2024-03-28 01:00:00,ЭДГ-1/3,39.1
199,2024-03-28 01:10:00,АСН-6,33.1
200,2024-03-28 03:00:00,ЭДГ-1/3,33.1
201,2024-03-28 05:00:00,ЭДГ-1/3,52.1
202,2024-03-28 10:00:00,ЭДГ-1/3,23.6
203,2024-03-28 14:00:00,АСН-6,23.6
204,2024-03-28 16:00:00,ЭДГ-1/3,35.6
205,2024-03-28 21:00:00,ЭДГ-1/3,59.2
