,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1/3|P сеп. |кгс/см²,С-1/3|t жидкости |°С,С-1/3|L жидкости| см,С-2/3|P сеп. |кгс/см²,С-2/3|t жидкости |°С,С-2/3|L жидкости| см,С-2/3|L нефти,ОН-1/3|P отс. |кгс/см²,ОН-1/3|t жидкости|°С,ОН-1/3|L межфазный|см,С-3/3|t жидкости|°С,С-3/3|L нефти|см,ЭДГ-1/3|L меж. Фаз.,ЭДГ-1/3|Р,ЭДГ-1/3|Т,ЭДГ-1/3|Сила тока,ЭДГ-1/3|Напряжение,П-4|Т нефти на входе|°С,П-4|Т нефти на выходе|°С,П-4|Р нефти на входе|кгс/см²,П-4|Р нефти на выходе|кгс/см²,П-4|Т теплоно-сителя|°С,П-4|Т дымовых газов|°С,П-4|Р на горелку|кгс/см2,П-5|Т нефти на входе|°С,П-5|Т нефти на выходе|°С,П-5|Р нефти на входе|кгс/см²,П-5|Р нефти на выходе|кгс/см²,П-5|Т теплоно-сителя|°С,П-5|Т дымовых газов|°С,П-5|Р на горелку|кгс/см3,Показания влагомера,Расход пресной воды
0,2024-03-01 00:00:00,9.1,16,8.9,15,65,4.4,56,65,75,1.3,44,58,50,57,33,1,50,0.23,7,21.8,54,5.2,4.6,59.5,187.6,0.2,22.2,57.4,5.1,4.5,61.2,75.8,0.2,0.36,2.4
1,2024-03-01 02:00:00,9.4,16,8.7,15,66,4.3,56,65,75,1.5,44,58,50,59,33,1,50,0.23,7.1,22.5,52.6,5.3,4.6,58.6,114.4,0.2,22.9,57,5.6,4.6,60.9,76.7,0.2,0.38,2.4
2,2024-03-01 04:00:00,9.1,16,8.9,15,65,4.2,56,64,75,1.1,44,58,50,56,33,1,50,0.23,6.9,22.3,56.8,5.3,4.6,61.3,123.6,0.2,22.6,58.9,5.3,4.5,61.3,76.3,0.2,0.37,2.4
3,2024-03-01 06:00:00,9.2,16,8.9,15,65,4.2,56,65,75,1.5,44,58,49,50,33,1,50,0.22,7,20.2,56,5.4,4.6,61.7,242,0.2,20,55.7,5.3,4.5,60.4,76.7,0.2,0.39,2.4
4,2024-03-01 08:00:00,9.2,16,8.9,15,64,4.3,55,65,75,1.5,44,58,49,64,33,1,50,0.24,6.8,21.2,54.3,5.3,4.6,59.7,233.2,0.2,21.8,56.6,5.3,4.5,60.4,76.8,0.2,0.37,2.4
5,2024-03-01 10:00:00,9,16,8.8,15,65,4.4,56,65,75,1.6,44,58,49,55,33,1,50,0.24,6.8,18.7,54.1,5.2,4.6,60.3,121.7,0.2,19.1,57.7,5,4.5,62.3,91.5,0.2,0.36,2.4
6,2024-03-01 12:00:00,9.6,16,9,15,65,4.2,55,65,74,1.4,44,58,49,58,33,1,50,0.23,7,20.9,56.4,5.5,4.7,62,133.2,0.2,20.9,59.6,5.3,4.6,63,129.9,0.2,0.39,2.4
7,2024-03-01 14:00:00,9.1,16,8.9,15,65,4.2,56,64,75,1.1,44,58,50,50,33,1,50,0.23,6.9,22.3,56.8,5.3,4.6,61.3,123.6,0.2,22.6,58.9,5.3,4.5,61.3,76.3,0.2,0.4,2.5
8,2024-03-01 16:00:00,9.5,16,9,15,64,4.3,56,65,75,1.4,45,58,47,40,34,1,50,0.22,6.9,20.5,54.7,5,4.4,59.9,228.1,0.2,21.1,55.2,4.8,4.4,59.5,76.2,0.2,0.37,2.5
9,2024-03-01 18:00:00,9,16,8.7,15,64,4.3,57,65,75,1.3,45,58,48,50,25,1,50,0.22,6.8,21.9,54.4,5.3,4.6,59.3,118.6,0.2,22.4,58.7,5,4.5,62.7,76.4,0.2,0.38,2.5
10,2024-03-01 20:00:00,9.1,16,8.9,15,64,4.4,56,65,75,1.5,44,58,51,57,30,1,50,0.23,7,21.7,57,5.1,4.5,62.4,140,0.2,22.2,56.8,5,4.5,60.9,77.2,0.2,0.37,2.5
11,2024-03-01 22:00:00,9.3,16,8.9,15,64,4.2,56,65,75,1.4,44,58,49,50,33,1,51,0.23,7,21,52.4,4.8,4.4,58,215.8,0.2,61.2,57.2,4.9,4.3,61.2,80.1,0.2,0.36,2.5
12,2024-03-02 00:00:00,9.5,16,9,15,65,4.3,56,64,75,1.4,44,58,50,58,33,1,50,0.23,7,20.7,53.3,4.9,4.4,59.1,117.7,0.2,21.1,55.8,4.8,4.4,60,77.7,0.2,0.35,2.5
13,2024-03-02 02:00:00,9.6,16,9,15,65,4.2,57,65,75,1.3,44,58,50,51,33,1,50,0.22,6.9,21.7,54.1,5,4.5,60.3,125.9,0.2,22,55.9,4.7,4.3,59.9,77.6,0.2,0.36,2.4
14,2024-03-02 04:00:00,9.5,16,9.1,15,65,4.2,55,65,76,1.3,44,58,51,57,33,1,50,0.22,7,21,57.4,5.3,4.6,62.5,143,0.2,21.4,56.5,5.1,4.4,59.6,77.5,0.2,0.38,2.4
