,Дата,Расход пресной воды
0,2022-01-01 00:00:00,11
2,2022-01-01 04:00:00,9
3,2022-01-01 06:00:00,8
4,2022-01-01 08:00:00,8
5,2022-01-01 10:00:00,8
6,2022-01-01 12:00:00,8
7,2022-01-01 14:00:00,8
8,2022-01-01 16:00:00,8
9,2022-01-01 18:00:00,9
10,2022-01-01 20:00:00,9
11,2022-01-01 22:00:00,9
12,2022-01-02 00:00:00,9
13,2022-01-01 02:00:00,9
14,2022-01-02 04:00:00,9
15,2022-01-02 06:00:00,9
16,2022-01-02 08:00:00,9
17,2022-01-02 10:00:00,9
18,2022-01-02 12:00:00,9
19,2022-01-02 14:00:00,9
20,2022-01-02 16:00:00,9
21,2022-01-02 18:00:00,9
22,2022-01-02 20:00:00,9
23,2022-01-02 22:00:00,9
24,2022-01-03 00:00:00,9
25,2022-01-02 02:00:00,9
26,2022-01-03 04:00:00,9
27,2022-01-03 06:00:00,9.1
28,2022-01-03 08:00:00,9.1
29,2022-01-03 10:00:00,9.1
30,2022-01-03 12:00:00,9.1
31,2022-01-03 14:00:00,9.1
32,2022-01-03 16:00:00,9.1
33,2022-01-03 18:00:00,9.1
34,2022-01-03 20:00:00,9.1
35,2022-01-03 22:00:00,9.1
36,2022-01-04 00:00:00,9.1
37,2022-01-03 02:00:00,9
38,2022-01-04 04:00:00,9
39,2022-01-04 06:00:00,9
40,2022-01-04 08:00:00,9
41,2022-01-04 10:00:00,9
42,2022-01-04 12:00:00,9
43,2022-01-04 14:00:00,9
44,2022-01-04 16:00:00,9
45,2022-01-04 18:00:00,10
46,2022-01-04 20:00:00,10
47,2022-01-04 22:00:00,10
48,2022-01-05 00:00:00,10
49,2022-01-04 02:00:00,9
50,2022-01-05 04:00:00,9
51,2022-01-05 06:00:00,9
52,2022-01-05 08:00:00,9
53,2022-01-05 10:00:00,9.4
54,2022-01-05 12:00:00,9.4
55,2022-01-05 14:00:00,9
56,2022-01-05 16:00:00,9
57,2022-01-05 18:00:00,9
58,2022-01-05 20:00:00,9
59,2022-01-05 22:00:00,9.2
60,2022-01-06 00:00:00,10
61,2022-01-05 02:00:00,9
62,2022-01-06 04:00:00,9
63,2022-01-06 06:00:00,10
64,2022-01-06 08:00:00,9
65,2022-01-06 10:00:00,9
66,2022-01-06 12:00:00,9
67,2022-01-06 14:00:00,9
68,2022-01-06 16:00:00,9
69,2022-01-06 18:00:00,9
