,Дата,Добыча воды за 2ч,Показания влагомера
0,2023-03-01 00:00:00,1,0.1
2,2023-03-01 04:00:00,1,0.11
3,2023-03-01 06:00:00,1,0.13
4,2023-03-01 08:00:00,1.1,0.11
5,2023-03-01 10:00:00,1.2,0.12
6,2023-03-01 12:00:00,1,0.13
7,2023-03-01 14:00:00,1,0.1
8,2023-03-01 16:00:00,1.1,0.11
9,2023-03-01 18:00:00,0.9,0.11
10,2023-03-01 20:00:00,0.9,0.09
11,2023-03-01 22:00:00,1,0.1
12,2023-03-02 00:00:00,1,0.12
13,2023-03-01 02:00:00,1,0.12
14,2023-03-02 04:00:00,1,0.14
15,2023-03-02 06:00:00,1,0.13
16,2023-03-02 08:00:00,1.1,0.17
17,2023-03-02 10:00:00,1.3,0.12
18,2023-03-02 12:00:00,1.1,0.1
19,2023-03-02 14:00:00,1.1,0.09
20,2023-03-02 16:00:00,1,0.11
21,2023-03-02 18:00:00,1.1,0.12
22,2023-03-02 20:00:00,1,0.08
23,2023-03-02 22:00:00,1,0.09
24,2023-03-03 00:00:00,1,0.11
25,2023-03-02 02:00:00,1,0.11
26,2023-03-03 04:00:00,1,0.12
27,2023-03-03 06:00:00,1,0.1
28,2023-03-03 08:00:00,1.1,0.08
29,2023-03-03 10:00:00,1.1,0.1
30,2023-03-03 12:00:00,1.1,0.12
31,2023-03-03 14:00:00,1.2,0.11
32,2023-03-03 16:00:00,1,0.1
33,2023-03-03 18:00:00,1,0.12
34,2023-03-03 20:00:00,1,0.1
35,2023-03-03 22:00:00,1,0.11
36,2023-03-04 00:00:00,1,0.14
37,2023-03-03 02:00:00,1,0.12
38,2023-03-04 04:00:00,1,0.15
39,2023-03-04 06:00:00,1,0.12
40,2023-03-04 08:00:00,1.1,0.14
41,2023-03-04 10:00:00,1,0.13
42,2023-03-04 12:00:00,1,0.12
43,2023-03-04 14:00:00,1.1,0.09
44,2023-03-04 16:00:00,1.1,0.1
45,2023-03-04 18:00:00,1.2,0.1
46,2023-03-04 20:00:00,1,0.12
47,2023-03-04 22:00:00,1,0.12
48,2023-03-05 00:00:00,1,0.14
49,2023-03-04 02:00:00,1,0.12
50,2023-03-05 04:00:00,1,0.11
51,2023-03-05 06:00:00,1.1,0.11
52,2023-03-05 08:00:00,0.9,0.13
53,2023-03-05 10:00:00,1,0.12
54,2023-03-05 12:00:00,1.1,0.13
55,2023-03-05 14:00:00,1.1,0.1
56,2023-03-05 16:00:00,1.1,0.11
57,2023-03-05 18:00:00,1.1,0.12
58,2023-03-05 20:00:00,1,0.1
59,2023-03-05 22:00:00,1,0.11
60,2023-03-06 00:00:00,1.1,0.12
61,2023-03-05 02:00:00,1,0.12
62,2023-03-06 04:00:00,1,0.11
63,2023-03-06 06:00:00,1,0.12
64,2023-03-06 08:00:00,1.2,0.11
65,2023-03-06 10:00:00,1.1,0.1
66,2023-03-06 12:00:00,0.9,0.12
67,2023-03-06 14:00:00,1.1,0.11
68,2023-03-06 16:00:00,1.1,0.13
69,2023-03-06 18:00:00,1.1,0.12
70,2023-03-06 20:00:00,1.1,0.1
71,2023-03-06 22:00:00,1,0.12
72,2023-03-07 00:00:00,1,0.12
73,2023-03-06 02:00:00,1,0.12
74,2023-03-07 04:00:00,1,0.1
75,2023-03-07 06:00:00,1.1,0.11
76,2023-03-07 08:00:00,1,0.1
77,2023-03-07 10:00:00,0.9,0.11
78,2023-03-07 12:00:00,1.2,0.13
79,2023-03-07 14:00:00,1.1,0.1
80,2023-03-07 16:00:00,1.1,0.11
81,2023-03-07 18:00:00,1.2,0.13
82,2023-03-07 20:00:00,1,0.14
83,2023-03-07 22:00:00,1,0.14
84,2023-03-08 00:00:00,1,0.15
85,2023-03-07 02:00:00,1,0.16
86,2023-03-08 04:00:00,1,0.16
87,2023-03-08 06:00:00,1.2,0.15
88,2023-03-08 08:00:00,1.1,0.11
89,2023-03-08 10:00:00,1.2,0.12
90,2023-03-08 12:00:00,1,0.1
91,2023-03-08 14:00:00,1.1,0.12
92,2023-03-08 16:00:00,1.1,0.11
93,2023-03-08 18:00:00,1,0.11
94,2023-03-08 20:00:00,1,0.15
95,2023-03-08 22:00:00,1,0.14
96,2023-03-09 00:00:00,1,0.16
97,2023-03-08 02:00:00,1,0.15
98,2023-03-09 04:00:00,1.1,0.15
99,2023-03-09 06:00:00,1,0.16
100,2023-03-09 08:00:00,1,0.14
101,2023-03-09 10:00:00,1,0.12
102,2023-03-09 12:00:00,1,0.14
103,2023-03-09 14:00:00,1,0.16
104,2023-03-09 16:00:00,1,0.13
105,2023-03-09 18:00:00,1,0.14
106,2023-03-09 20:00:00,1,0.19
107,2023-03-09 22:00:00,1,0.18
108,2023-03-10 00:00:00,1,0.18
109,2023-03-09 02:00:00,1,0.17
110,2023-03-10 04:00:00,1,0.18
111,2023-03-10 06:00:00,1,0.17
112,2023-03-10 08:00:00,1,0.18
113,2023-03-10 10:00:00,1,0.17
114,2023-03-10 12:00:00,1,0.16
115,2023-03-10 14:00:00,1,0.15
116,2023-03-10 16:00:00,1,0.15
117,2023-03-10 18:00:00,1,0.14
118,2023-03-10 20:00:00,1,0.15
119,2023-03-10 22:00:00,1.1,0.15
120,2023-03-11 00:00:00,1.1,0.14
121,2023-03-10 02:00:00,1,0.13
122,2023-03-11 04:00:00,1,0.14
123,2023-03-11 06:00:00,1,0.14
124,2023-03-11 08:00:00,1,0.13
125,2023-03-11 10:00:00,1,0.14
126,2023-03-11 12:00:00,1,0.14
127,2023-03-11 14:00:00,1,0.15
128,2023-03-11 16:00:00,1,0.15
129,2023-03-11 18:00:00,1,0.14
130,2023-03-11 20:00:00,1,0.13
131,2023-03-11 22:00:00,1,0.12
132,2023-03-12 00:00:00,1,0.12
133,2023-03-11 02:00:00,1,0.13
134,2023-03-12 04:00:00,1,0.19
135,2023-03-12 06:00:00,1,0.19
136,2023-03-12 08:00:00,1,0.12
137,2023-03-12 10:00:00,1,0.13
138,2023-03-12 12:00:00,1,0.15
139,2023-03-12 14:00:00,1,0.12
140,2023-03-12 16:00:00,1,0.1
141,2023-03-12 18:00:00,1,0.1
142,2023-03-12 20:00:00,1,0.11
143,2023-03-12 22:00:00,1,0.11
144,2023-03-13 00:00:00,1,0.1
145,2023-03-12 02:00:00,1,0.13
146,2023-03-13 04:00:00,1,0.16
147,2023-03-13 06:00:00,1,0.15
148,2023-03-13 08:00:00,1,0.12
149,2023-03-13 10:00:00,1,0.1
150,2023-03-13 12:00:00,1,0.15
151,2023-03-13 14:00:00,1,0.17
152,2023-03-13 16:00:00,1,0.12
153,2023-03-13 18:00:00,1,0.12
154,2023-03-13 20:00:00,1,0.19
155,2023-03-13 22:00:00,1,0.19
156,2023-03-14 00:00:00,1,0.19
