,Место отбора,"Сод. Cl соед., мг/дм3",Дата
0,КСУ-БЕН-5,80,2023-01-01 04:00:00
1,КСУ-БЕН-3,65.5,2023-01-01 10:00:00
2,КСУ-БЕН-1,72.7,2023-01-01 16:00:00
3,КСУ-БЕН-6,90.9,2023-01-01 22:00:00
4,КСУ-БЕН-5,89.1,2023-01-02 04:00:00
5,КСУ-БЕН-2,105.1,2023-01-02 10:00:00
6,КСУ-БЕН-1,102.7,2023-01-02 16:00:00
7,КСУ-БЕН-5,124,2023-01-02 22:00:00
8,КСУ-БЕН-3,128.1,2023-01-03 04:00:00
9,КСУ-БЕН-2,89.5,2023-01-03 10:00:00
10,КСУ-БЕН-6,99.3,2023-01-03 16:00:00
11,КСУ-БЕН-5,165.1,2023-01-03 22:00:00
12,КСУ-БЕН-3,113.5,2023-01-04 04:00:00
13,КСУ-БЕН-2,89.6,2023-01-04 10:00:00
14,КСУ-БЕН-1,81.1,2023-01-04 16:00:00
15,КСУ-БЕН-6,176.1,2023-01-04 22:00:00
16,КСУ-БЕН-4,146.6,2023-01-05 04:00:00
17,КСУ-БЕН-1,78.8,2023-01-05 10:00:00
18,КСУ-БЕН-1,95.5,2023-01-05 16:00:00
19,КСУ-БЕН-6,85.3,2023-01-05 22:00:00
20,КСУ-БЕН-6,89,2023-01-06 04:00:00
21,КСУ-БЕН-3,130.7,2023-01-06 10:00:00
22,КСУ-БЕН-6,106.8,2023-01-06 16:00:00
23,КСУ-БЕН-6,85.3,2023-01-06 22:00:00
24,КСУ-БЕН-3,167.4,2023-01-08 04:00:00
25,АСН-5,121.4,2023-01-08 05:05:00
26,КСУ-БЕН-2,141.7,2023-01-08 10:00:00
27,КСУ-БЕН-6,117.6,2023-01-08 16:00:00
28,КСУ-БЕН-2,112.4,2023-01-08 22:00:00
33,КСУ-БЕН-2,112.4,
34,КСУ-БЕН-3,88.1,2023-01-09 04:00:00
35,КСУ-БЕН-3,77.1,2023-01-09 10:00:00
36,КСУ-БЕН-2,74.7,2023-01-09 16:00:00
37,КСУ-БЕН-6,78.9,2023-01-09 22:00:00
38,КСУ-БЕН-6,74.7,2023-01-10 04:00:00
39,КСУ-БЕН-3,98.5,2023-01-10 10:00:00
40,КСУ-БЕН-2,91.9,2023-01-10 16:00:00
41,КСУ-БЕН-4,85.7,2023-01-10 21:30:00
42,КСУ-БЕН-5,70.1,2023-01-11 04:00:00
43,КСУ-БЕН-2,80.1,2023-01-11 10:00:00
44,КСУ-БЕН-1,72.3,2023-01-11 16:00:00
45,КСУ-БЕН-6,94.5,2023-01-11 22:00:00
46,КСУ-БЕН-1,79.3,2023-01-12 04:00:00
47,КСУ-БЕН-5,61,2023-01-12 10:00:00
48,КСУ-БЕН-6,66.8,2023-01-12 16:00:00
49,КСУ-БЕН-1,62.6,2023-01-12 22:00:00
50,КСУ-БЕН-3,77.5,2023-01-13 04:00:00
51,КСУ-БЕН-3,123.2,2023-01-13 10:00:00
52,КСУ-БЕН-6,76.8,2023-01-13 16:00:00
53,КСУ-БЕН-6,65,2023-01-13 22:00:00
54,КСУ-БЕН-3,59.2,2023-01-14 04:00:00
55,КСУ-БЕН-2,73.7,2023-01-14 10:00:00
56,КСУ-БЕН-2,84.1,2023-01-14 16:00:00
