,Место отбора,"Сод. Cl соед., мг/дм3",Дата
0,КСУ-БЕН-5,96.5,2023-03-01 04:00:00
1,КСУ-БЕН-2,160,2023-03-01 10:00:00
2,КСУ-БЕН-6,103,2023-03-01 16:00:00
3,КСУ-БЕН-5,163,2023-03-01 22:00:00
4,КСУ-БЕН-3,158,2023-03-02 04:00:00
5,КСУ-БЕН-3,100.7,2023-03-02 10:00:00
6,КСУ-БЕН-5,95.5,2023-03-02 16:00:00
7,КСУ-БЕН-3,113.9,2023-03-02 22:00:00
8,КСУ-БЕН-1,93.8,2023-03-03 04:00:00
9,КСУ-БЕН-6,99.7,2023-03-03 10:00:00
10,КСУ-БЕН-5,115.3,2023-03-03 16:00:00
11,КСУ-БЕН-3,191.1,2023-03-03 22:00:00
12,КСУ-БЕН-1,149.7,2023-03-04 04:00:00
13,КСУ-БЕН-5,117.2,2023-03-04 10:00:00
14,КСУ-БЕН-3,94.7,2023-03-04 16:00:00
15,КСУ-БЕН-2,105.9,2023-03-04 22:00:00
16,КСУ-БЕН-1,115.9,2023-03-05 04:00:00
17,КСУ-БЕН-5,100.5,2023-03-05 10:00:00
18,КСУ-БЕН-3,88.8,2023-03-05 16:00:00
19,КСУ-БЕН-2,104.1,2023-03-05 22:00:00
20,КСУ-БЕН-6,98.8,2023-03-06 04:00:00
21,КСУ-БЕН-1,96.8,2023-03-06 10:00:00
22,КСУ-БЕН-5,96.5,2023-03-06 16:00:00
23,КСУ-БЕН-3,101.2,2023-03-06 22:00:00
24,КСУ-БЕН-1,153.6,2023-03-07 04:00:00
25,КСУ-БЕН-6,211.4,2023-03-07 10:00:00
26,КСУ-БЕН-5,159.9,2023-03-07 16:00:00
27,КСУ-БЕН-3,239.6,2023-03-07 22:00:00
28,АСН-6,133.6,2023-03-07 23:40:00
29,КСУ-БЕН-1,132.1,2023-03-08 04:00:00
30,КСУ-БЕН-5,99.4,2023-03-08 10:00:00
31,КСУ-БЕН-3,116.5,2023-03-08 16:00:00
32,КСУ-БЕН-1,143.4,2023-03-08 22:00:00
33,АСН-6,142.2,2023-03-09 03:40:00
34,КСУ-БЕН-6,173.5,2023-03-09 04:00:00
35,КСУ-БЕН-5,128,2023-03-09 10:00:00
36,КСУ-БЕН-5,104.9,2023-03-09 16:00:00
37,КСУ-БЕН-3,177,2023-03-09 22:00:00
38,АСН-6,112,2023-03-09 23:25:00
