,Место отбора проб,"Сод. Cl соед., мг/дм3",Дата
0,КСУ БЕН-4,129.8,2023-01-01 04:00:00
1,БМ,4274.8,2023-01-01 06:00:00
2,АСН-1,36.3,2023-01-01 08:20:00
3,КСУ БЕН-8,135.7,2023-01-01 10:00:00
4,КСУ БЕН-1,136.6,2023-01-01 16:00:00
6,АСН1-6,56.5,2023-01-01 22:00:00
8,КСУ СУТ,49.2,2023-01-01 23:00:00
9,КСУ БЕН-6,120.2,2023-01-02 04:00:00
10,БМ,4724.7,2023-01-02 06:00:00
11,АСН-1 ,91.7,2023-01-02 08:25:00
12,КСУ БЕН-7,136.8,2023-01-02 10:00:00
13,КСУ БЕН-4,157.5,2023-01-02 16:00:00
15,АСН1-6,29.7,2023-01-02 22:00:00
17,КСУ СУТ,57.3,2023-01-02 23:00:00
18,КСУ БЕН-1,148.1,2023-01-03 04:00:00
19,БМ,4173.7,2023-01-03 06:00:00
20,АСН-2,38.6,2023-01-03 08:05:00
21,КСУ БЕН-4,96.8,2023-01-03 10:00:00
22,КСУ БЕН-8,107.8,2023-01-03 16:00:00
24,АСН1-6,53.8,2023-01-03 22:00:00
26,КСУ СУТ,81.3,2023-01-03 23:00:00
27,АСН-1,109.5,2023-01-04 00:10:00
28,КСУ БЕН-8,141.6,2023-01-04 01:00:00
29,КСУ БЕН-6,196.3,2023-01-04 04:00:00
30,БМ,5548.4,2023-01-04 06:00:00
31,АСН-1,28.7,2023-01-04 08:10:00
32,КСУ БЕН-1,160.4,2023-01-04 10:00:00
33,АСН-2,33.6,2023-01-04 14:20:00
34,КСУ БЕН-4,155.5,2023-01-04 16:00:00
36,АСН1-6,41.5,2023-01-04 22:00:00
38,КСУ СУТ,59.6,2023-01-04 23:00:00
39,АСН-2,99.1,2023-01-05 00:10:00
40,КСУ БЕН-5,143.8,2023-01-05 04:00:00
41,АСН-2,92.6,2023-01-05 05:10:00
42,БМ,4144.4,2023-01-05 06:00:00
43,АСН-1,50.9,2023-01-05 08:20:00
44,КСУ БЕН-5,189.3,2023-01-05 10:00:00
45,АСН-2,47.7,2023-01-05 13:00:00
46,КСУ БЕН-7,239,2023-01-05 16:00:00
47,АСН-2,49.9,2023-01-05 16:30:00
49,АСН1-6,58.1,2023-01-05 22:00:00
51,КСУ СУТ,37.2,2023-01-05 23:00:00
52,КСУ БЕН-2,100,2023-01-06 04:00:00
53,БМ,4271.8,2023-01-06 06:00:00
54,АСН-3,98.2,2023-01-06 07:10:00
55,КСУ БЕН-6,203.7,2023-01-06 10:00:00
56,АСН-3,96.8,2023-01-06 11:40:00
57,КСУ БЕН-4,158.6,2023-01-06 13:00:00
58,АСН-2,63.6,2023-01-06 14:30:00
59,КСУ БЕН-1,141.7,2023-01-06 16:00:00
61,АСН1-6,46.2,2023-01-06 22:00:00
63,КСУ СУТ,87.3,2023-01-06 23:00:00
64,АСН-2,74.9,2023-01-08 00:40:00
65,АСН-3,81.3,2023-01-08 03:40:00
66,КСУ БЕН-4,184,2023-01-08 04:00:00
67,АСН-2,99.6,2023-01-08 05:10:00
68,БМ,3944.1,2023-01-08 06:00:00
69,АСН-2,93.9,2023-01-08 08:20:00
70,КСУ БЕН-7,162.5,2023-01-08 10:00:00
71,АСН-1,77.4,2023-01-08 14:05:00
72,КСУ БЕН-1,136.8,2023-01-08 16:00:00
74,АСН-1-6,66.8,2023-01-08 22:00:00
76,КСУ СУТ,87.3,2023-01-08 23:00:00
90,АСН-4,76.8,2023-01-09 01:25:00
91,КСУ БЕН-1,150.5,2023-01-09 04:00:00
92,КСУ БЕН-2,111.8,2023-01-09 04:20:00
93,БМ,3458.5,2023-01-09 06:00:00
94,АСН-4,85.9,2023-01-09 08:05:00
95,КСУ БЕН-3,118.5,2023-01-09 10:00:00
96,КСУ БЕН-6,150.5,2023-01-09 16:00:00
98,АСН-1-6,36.2,2023-01-09 22:00:00
100,КСУ СУТ,43.4,2023-01-09 23:00:00
101,АСН-2,65.5,2023-01-10 00:30:00
102,КСУ БЕН-9,135.6,2023-01-10 04:00:00
103,БМ,5214,2023-01-10 06:00:00
104,АСН-2,67.7,2023-01-10 08:00:00
105,КСУ БЕН-5,198.4,2023-01-10 10:00:00
106,АСН-3,64.5,2023-01-10 12:50:00
107,КСУ БЕН-5,123.2,2023-01-10 16:00:00
108,КСУ БЕН-8,125.9,2023-01-10 21:30:00
109,АСН 1-6,28.6,2023-01-10 22:00:00
111,КСУ СУТ,59.4,2023-01-10 23:00:00
113,КСУ БЕН-5,99,2023-01-11 01:00:00
114,АСН-2,35.3,2023-01-11 01:50:00
115,КСУ БЕН-3,97.5,2023-01-11 04:00:00
116,БМ,3368.5,2023-01-11 06:00:00
117,АСН-3,57.9,2023-01-11 08:10:00
118,КСУ БЕН-5,103.2,2023-01-11 10:00:00
119,АСН-3,42.8,2023-01-11 13:00:00
120,КСУ БЕН-7,96.4,2023-01-11 16:00:00
122,АСН-1-6,27,2023-01-11 22:00:00
124,КСУ СУТ,69.4,2023-01-11 23:00:00
125,КСУ БЕН-3,107.5,2023-01-12 04:00:00
126,АСН-2,47.5,2023-01-12 04:15:00
127,БМ,5098.8,2023-01-12 06:00:00
128,КСУ БЕН-7,83.8,2023-01-12 10:00:00
129,КСУ БЕН2,82.2,2023-01-12 16:00:00
131,АСН-1-6,44.5,2023-01-12 22:00:00
133,КСУ СУТ,98.7,2023-01-12 23:00:00
134,КСУ БЕН-1,82.8,2023-01-13 04:00:00
135,БМ,4843.2,2023-01-13 06:00:00
136,АСН-3,20.5,2023-01-13 08:05:00
137,КСУ БЕН-4,117.6,2023-01-13 10:00:00
138,КСУ БЕН-5,143.3,2023-01-13 16:00:00
140,АСН1-6,20.9,2023-01-13 22:00:00
142,КСУ СУТ,66.9,2023-01-13 23:00:00
143,АСН-2,38.3,2023-01-14 01:30:00
144,КСУ БЕН-3,80.9,2023-01-14 04:00:00
145,БМ,4778.9,2023-01-14 06:00:00
146,АСН-2,48.6,2023-01-14 07:30:00
147,КСУ БЕН-5,92.9,2023-01-14 10:00:00
148,КСУ БЕН-8,124.8,2023-01-14 16:00:00
150,АСН 1-6,23.3,2023-01-14 22:00:00
152,КСУ СУТ,53.6,2023-01-14 23:00:00
153,КСУ БЕН-5,85.1,2023-01-15 04:00:00
154,БМ,3495,2023-01-15 06:00:00
155,АСН-4,20.1,2023-01-15 08:07:00
156,КСУ БЕН-7,143.5,2023-01-15 10:00:00
157,КСУ БЕН-1,89.3,2023-01-15 16:00:00
159,АСН 1-6,29.6,2023-01-15 22:00:00
161,КСУ СУТ,44.2,2023-01-15 23:00:00
162,АСН-2,33.5,2023-01-16 00:45:00
163,КСУ БЕН-2,120.6,2023-01-16 04:00:00
164,БМ,3899.5,2023-01-16 06:00:00
165,АСН-2,19.6,2023-01-16 08:30:00
166,КСУ БЕН-6,94.6,2023-01-16 10:00:00
167,КСУ БЕН-9,93.7,2023-01-16 16:00:00
169,АСН-1-6,41.5,2023-01-16 22:00:00
171,КСУ СУТ,42.8,2023-01-16 23:00:00
172,КСУ БЕН-6,91.6,2023-01-17 04:00:00
173,БМ,4279.5,2023-01-17 06:00:00
174,КСУ БЕН-8,87.4,2023-01-17 10:00:00
175,КСУ БЕН-2,149.1,2023-01-17 16:00:00
177,АСН 1-6,26.9,2023-01-17 22:00:00
179,КСУ СУТ,48.7,2023-01-17 23:00:00
180,КСУ БЕН-5,85.1,2023-01-18 04:00:00
181,БМ,5628.9,2023-01-18 06:00:00
182,КСУ БЕН-9,106.2,2023-01-18 10:00:00
183,КСУ БЕН-3,150.1,2023-01-18 16:00:00
185,АСН1-6,24.4,2023-01-18 22:00:00
187,КСУ СУТ,23.8,2023-01-18 23:00:00
188,КСУ БЕН-7,111.4,2023-01-19 04:00:00
189,БМ,3937.7,2023-01-19 06:00:00
190,КСУ БЕН-1,125,2023-01-19 10:00:00
191,КСУ БЕН-3,97.5,2023-01-19 16:00:00
193,АСН1-6,28.4,2023-01-19 22:00:00
195,КСУ СУТ,49.1,2023-01-19 23:00:00
196,КСУ БЕН-7,99.3,2023-01-20 04:00:00
197,БМ,4004.9,2023-01-20 06:00:00
198,КСУ БЕН-1,109.9,2023-01-20 10:00:00
199,АСН-3,33.8,2023-01-20 13:40:00
200,КСУ БЕН-4,100.3,2023-01-20 16:00:00
202,АСН 1-6,34.1,2023-01-20 22:00:00
204,КСУ СУТ,44.9,2023-01-20 23:00:00
205,КСУ БЕН-1,107.9,2023-01-21 04:00:00
206,БМ,5465.2,2023-01-21 06:00:00
207,АСН-2,51.4,2023-01-21 08:05:00
