,Дата,Место сбора,"Сод. Cl соед., мг/дм3"
0,2024-04-01 01:10:00,АСН-6,86
1,2024-04-01 04:00:00,ЭДГ-1/3,33.7
2,2024-04-01 10:00:00,ЭДГ-1/3,47.7
3,2024-04-01 14:00:00,АСН-6,88.8
4,2024-04-01 16:00:00,ЭДГ-1/3,51
5,2024-04-01 22:00:00,ЭДГ-1/3,64.9
6,2024-04-02 01:00:00,ЭДГ-1/3,107
7,2024-04-02 01:10:00,АСН-6,86.5
8,2024-04-02 04:00:00,ЭДГ-1/3,110.6
9,2024-04-02 07:00:00,ЭДГ-1/3,55.6
10,2024-04-02 08:00:00,ЭДГ-1/3,40.8
11,2024-04-02 10:00:00,ЭДГ-1/3,120.4
12,2024-04-02 13:00:00,ЭДГ-1/3,141.6
13,2024-04-02 14:00:00,АСН-6,84.6
14,2024-04-02 15:00:00,ЭДГ-1/3,53.1
15,2024-04-02 16:00:00,ЭДГ-1/3,33
16,2024-04-02 19:00:00,АСН-6,62.5
17,2024-04-02 19:00:00,ЭДГ-1/3,96.2
18,2024-04-02 19:30:00,АСН-6,103.4
19,2024-04-02 22:00:00,ЭДГ-1/3,61.4
20,2024-04-02 22:20:00,АСН-6,77.9
21,2024-04-02 23:00:00,АСН-6,56.6
22,2024-04-03 01:00:00,ЭДГ-1/3,49.6
23,2024-04-03 01:05:00,АСН-6,75.5
24,2024-04-03 04:00:00,ЭДГ-1/3,56.6
25,2024-04-03 07:00:00,ЭДГ-1/3,41.3
26,2024-04-03 10:00:00,ЭДГ-1/3,18.4
27,2024-04-03 13:00:00,ЭДГ-1/3,94.4
28,2024-04-03 14:00:00,АСН-6,82.6
29,2024-04-03 14:00:00,ЭДГ-1/3,61.4
30,2024-04-03 16:00:00,ЭДГ-1/3,24.8
31,2024-04-03 19:00:00,ЭДГ-1/3,61.4
32,2024-04-03 19:50:00,АСН-6,75.5
33,2024-04-04 01:00:00,ЭДГ-1/3,51.9
34,2024-04-04 01:10:00,АСН-6,89.7
35,2024-04-04 04:00:00,ЭДГ-1/3,56.6
36,2024-04-04 06:00:00,АСН-6,70.8
37,2024-04-04 06:30:00,ЭДГ-1/3,35.4
38,2024-04-04 09:15:00,АСН-6,47.2
39,2024-04-04 10:00:00,ЭДГ-1/3,42.5
40,2024-04-04 12:00:00,ЭДГ-1/3,47.2
41,2024-04-04 16:00:00,ЭДГ-1/3,18.9
42,2024-04-04 19:00:00,ЭДГ-1/3,89.7
43,2024-04-04 22:00:00,ЭДГ-1/3,63.7
44,2024-04-05 01:00:00,ЭДГ-1/3,54.3
45,2024-04-05 01:10:00,АСН-6,80.2
46,2024-04-05 04:00:00,ЭДГ-1/3,40.1
47,2024-04-05 07:00:00,ЭДГ-1/3,66
48,2024-04-05 10:00:00,ЭДГ-1/3,103.8
49,2024-04-05 11:00:00,ЭДГ-1/3,47.2
50,2024-04-05 16:00:00,ЭДГ-1/3,37.8
51,2024-04-05 19:00:00,ЭДГ-1/3,89.7
52,2024-04-05 22:00:00,ЭДГ-1/3,75.5
53,2024-04-06 01:00:00,ЭДГ-1/3,68.4
54,2024-04-06 01:10:00,АСН-6,80.2
55,2024-04-06 04:00:00,ЭДГ-1/3,56.6
56,2024-04-06 10:00:00,ЭДГ-1/3,56.6
57,2024-04-06 13:00:00,ЭДГ-1/3,49.6
58,2024-04-06 16:00:00,ЭДГ-1/3,51.9
59,2024-04-06 19:00:00,ЭДГ-1/3,80.2
60,2024-04-06 22:00:00,ЭДГ-1/3,82.6
61,2024-04-07 01:00:00,ЭДГ-1/3,77.9
62,2024-04-07 04:00:00,ЭДГ-1/3,68.4
63,2024-04-07 07:00:00,ЭДГ-1/3,37.7
64,2024-04-07 10:00:00,ЭДГ-1/3,82.6
65,2024-04-07 13:00:00,ЭДГ-1/3,75.5
66,2024-04-07 16:00:00,ЭДГ-1/3,29.5
67,2024-04-07 19:00:00,ЭДГ-1/3,63.7
68,2024-04-07 22:00:00,ЭДГ-1/3,89.7
69,2024-04-08 01:00:00,ЭДГ-1/3,73.2
70,2024-04-08 04:00:00,ЭДГ-1/3,89.7
71,2024-04-08 07:00:00,ЭДГ-1/3,59
72,2024-04-08 09:00:00,ЭДГ-1/3,50.7
73,2024-04-08 13:00:00,ЭДГ-1/3,47.2
74,2024-04-08 16:00:00,ЭДГ-1/3,33.1
75,2024-04-08 22:00:00,ЭДГ-1/3,36.5
76,2024-04-08 22:00:00,АСН-6,70.8
77,2024-04-09 04:00:00,ЭДГ-1/3,34.8
78,2024-04-09 10:00:00,ЭДГ-1/3,47.2
79,2024-04-09 16:00:00,ЭДГ-1/3,37.7
80,2024-04-09 22:00:00,ЭДГ-1/3,44.8
81,2024-04-10 01:00:00,ЭДГ-1/3,50.7
82,2024-04-10 04:00:00,ЭДГ-1/3,49
83,2024-04-10 05:00:00,ТО,42.5
84,2024-04-10 08:50:00,АСН-6,56.6
85,2024-04-10 10:00:00,ЭДГ-1/3,30.7
86,2024-04-10 13:29:00,АСН-5,82.6
87,2024-04-10 16:00:00,ЭДГ-1/3,54.3
88,2024-04-10 16:40:00,АСН-6,85
89,2024-04-10 22:00:00,ЭДГ-1/3,50.7
90,2024-04-11 01:00:00,АСН-6,36.6
91,2024-04-11 04:00:00,ЭДГ-1/3,49.6
92,2024-04-11 04:00:00,АСН-6,33
93,2024-04-11 09:20:00,АСН-6,59
94,2024-04-11 10:00:00,ЭДГ-1/3,82.6
