,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1/1|P сеп. |кгс/см²,С-1/1|t жидкости |°С,С-1/1|L жидкости| см,С-1/2|P сеп. |кгс/см²,С-1/2|t жидкости |°С,С-1/2|L жидкости| см,С-2/1|P сеп. |кгс/см²,С-2/1|t жидкости|°С,С-2/1|L межфазный|см,С-2/1|L нефти|см,С-2/2|P сеп. |кгс/см²,С-2/2|t жидкости|°С,С-2/2|L межфазный|см,С-2/2|L нефти|см,ОН-1/1|P отс. |кгс/см²,ОН-1/1|t жидкости|°С,ОН-1/1|L межфазный|см,ОН-1/2|P отс. |кгс/см²,ОН-1/2|t жидкости|°С,ОН-1/2|L  межфазный|см,С-3/1|t жидкости|°С,С-3/1|L нефти|см,С-3/2|t жидкости|°С,С-3/2|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,П-3|Т нефти на входе|°С,П-3|Т нефти на выходе|°С,П-3|Р нефти на входе|кгс/см²,П-3|Р нефти на выходе|кгс/см²,П-3|Т теплоно-сителя|°С,П-3|Т дымовых газов|°С,П-3|Р на горелку|кгс/см4,Добыча воды за 2 ч,"Добыча воды за 2 ч, расч","Добыча воды за 2 ч, расч, по ТОРам",Показания влагомера,Расход пресной воды
0,2024-04-01 00:00:00,10,15,9.3,14,61,9.3,16,63,4.2,50,75,72,4.2,49,74,70,2.3,45,76,2.3,46,76,53,80,39,48,25.2,52.5,6.6,5.5,61.5,130.3,0.25,24.9,57.1,6.6,5.4,64.2,181.4,0.24,27.8,56.5,6.6,5.6,61.3,311.1,0.23,29.743999999999772,20.19899999999997,17.26899999999999,0.3,11
1,2024-04-01 02:00:00,9.8,15,9.2,14,62,9.3,16,63,4.2,50,75,71,4.2,49,75,72,2.5,45,73,2.5,46,72,53,82,39,51,24.8,52.3,6.4,5.3,61.4,130.5,0.25,24.6,55.4,6.5,5.3,63.2,158.1,0.24,27.2,57.1,6.6,5.5,61.8,319,0.23,23.075652,26.224999999999994,24.865000000000002,0.25,11.2
2,2024-04-01 04:00:00,9.9,15,9.2,14,62,9.3,16,62,4.2,50,75,73,4.3,49,73,72,2.5,45,73,2.5,46,75,53,80,39,50,24.7,51.5,6.4,5.3,60.7,126.2,0.25,24.4,53.3,6.5,5.3,61.4,138.4,0.24,27.2,55.4,6.6,5.5,60.8,308.8,0.23,23.342563999999996,16.706999999999994,20.117000000000004,0.212,11.2
3,2024-04-01 06:00:00,9.8,15,9.3,14,64,9.4,16,63,4.2,49,75,71,4.3,49,75,69,2.5,46,74,2.6,46,75,53,83,39,53,24.1,53.4,6.4,5.3,63.7,188.7,0.25,23.9,54,6.5,5.3,61.4,279.6,0.24,26.8,58,6.6,5.5,63.4,329.6,0.23,23.522607999999956,17.675999999999988,14.065999999999995,0.23,11.3
4,2024-04-01 08:00:00,9.7,16,9.4,15,61,9.3,17,63,4.2,50,75,71,4.3,50,75,73,2.4,46,74,2.4,46,75,54,78,40,50,24.8,52.3,6.5,5.4,61.5,136.9,0.25,24.5,55.6,6.6,5.5,62.8,282.2,0.24,27.7,58.4,6.5,5.5,64.3,204,0.23,23.773939999999996,22.06300000000003,19.19300000000002,0.15,11.2
5,2024-04-01 10:00:00,9.6,16,9.2,15,61,9.3,17,62,4.2,50,75,72,4.3,50,75,71,2.5,46,74,2.5,47,76,54,80,40,52,24.9,53.6,6.6,5.4,62.7,148.8,0.25,24.4,54.7,6.8,5.5,61.4,275.5,0.24,28.2,57.6,6.7,5.6,62.4,321.9,0.23,23.317940000000007,20.88899999999998,21.748999999999995,0.15,11.3
6,2024-04-01 12:00:00,9.7,16,9.1,15,59,9.2,17,62,4.2,51,75,74,4.3,50,75,71,2.4,46,75,2.5,47,75,54,79,40,50,25,53.2,6.5,5.3,62.1,318.2,0.25,24.4,53.7,6.5,5.4,61.5,137.2,0.24,28.2,55.4,6.4,5.4,61,134.7,0.23,23.717168,19.605999999999995,19.706000000000014,0.27,11.2
7,2024-04-01 14:00:00,9.8,16,9.3,15,62,9.4,18,60,4.2,50,76,73,4.3,50,76,70,2.4,46,74,2.4,47,76,54,78,40,50,24.8,51.8,6.2,5.3,60.5,121.7,0.25,24.5,56.4,6.3,5.4,63.5,281.3,0.24,28.3,59.7,6.2,5.2,64.5,248.2,0.23,22.527312000000144,23.48299999999999,21.893000000000008,0.15,11.3
8,2024-04-01 16:00:00,9.7,16,9.4,15,60,9.4,18,64,4.2,51,74,73,4.3,50,76,75,2.4,47,74,2.4,47,76,53,80,41,51,24.6,53.1,6.3,5.4,62,138,0.25,24.3,52,6.3,5.2,59.5,226.9,0.24,27.6,54.7,6.3,5.3,60.4,127.1,0.23,24.488187999999905,20.014999999999993,20.00499999999998,0.15,11.2
9,2024-04-01 18:00:00,9.8,16,9.4,15,63,9.4,17,64,4.2,49,75,70,4.3,50,74,71,2.6,46,74,2.6,47,76,53,84,40,54,24.9,54,6.3,5.3,63.9,327.5,0.25,24.9,56.6,6.3,5.3,64.2,186.3,0.24,27.6,59.4,6.4,5.2,64.2,325.2,0.23,23.391583999999995,16.327000000000005,15.747000000000021,0.17,11.3
