,Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1/3|P сеп. |кгс/см²,С-1/3|t жидкости |°С,С-1/3|L жидкости| см,С-2/3|P сеп. |кгс/см²,С-2/3|t жидкости |°С,С-2/3|L жидкости| см,С-2/3|L нефти,ОН-1/3|P отс. |кгс/см²,ОН-1/3|t жидкости|°С,ОН-1/3|L межфазный|см,С-3/3|t жидкости|°С,С-3/3|L нефти|см,ЭДГ-1/3|L меж. Фаз.,ЭДГ-1/3|Р,ЭДГ-1/3|Т,ЭДГ-1/3|Сила тока,ЭДГ-1/3|Напряжение,П-4|Т нефти на входе|°С,П-4|Т нефти на выходе|°С,П-4|Р нефти на входе|кгс/см²,П-4|Р нефти на выходе|кгс/см²,П-4|Т теплоно-сителя|°С,П-4|Т дымовых газов|°С,П-4|Р на горелку|кгс/см2,П-5|Т нефти на входе|°С,П-5|Т нефти на выходе|°С,П-5|Р нефти на входе|кгс/см²,П-5|Р нефти на выходе|кгс/см²,П-5|Т теплоно-сителя|°С,П-5|Т дымовых газов|°С,П-5|Р на горелку|кгс/см3,Показания влагомера,Расход пресной воды
0,2024-04-01 00:00:00,9.5,16,9.1,15,64,3.5,51,75,75,1.2,55,55,52,60,30,1,52,0.27,9.8,18.7,58.1,4.4,3.6,59,160.6,0.2,20,55,4.4,3.6,59.4,189.6,0.2,0.38,4.5
1,2024-04-01 02:00:00,9.8,16,9,15,66,3.5,57,75,75,1.2,54,55,48,44,35,1,51,0.28,10,20.9,53.8,4.5,3.7,59.2,215,0.2,21.8,56.5,4.7,3.7,60.9,92.9,0.2,0.36,4.2
2,2024-04-01 04:00:00,9.7,15,9,15,65,3.5,56,75,75,1.3,54,55,52,54,33,1,52,0.27,9.9,20.4,56.7,4.1,3.5,62.1,229.9,0.2,21.3,58.9,4.5,3.6,62.5,234.3,0.2,0.35,4.2
3,2024-04-01 06:00:00,9.6,15,9,15,65,3.3,57,75,75,1.2,54,55,51,45,35,1,51,0.27,9.9,23.5,55.2,4.1,3.5,61.2,125.3,0.2,22.7,57.2,4.2,3.5,60.9,94.1,0.2,0.38,4.2
4,2024-04-01 08:00:00,9.6,16,9,15,65,3.5,51,75,75,1.3,54,55,52,58,34,1,52,0.25,10.1,20.9,55.5,4.4,3.6,60.8,226.6,0.2,21.3,57.9,4.4,3.6,62.4,103.9,0.2,0.37,4.2
5,2024-04-01 10:00:00,9.3,16,8.8,15,65,3.5,57,75,75,1.1,54,55,51,52,33,1,52,0.27,10,20.4,55.6,4.8,3.8,61.4,121.8,0.2,20.4,56,4.9,3.8,59.7,91.1,0.2,0.38,4.2
6,2024-04-01 12:00:00,9.4,16,8.9,15,65,3.5,58,75,75,1.2,55,55,52,56,35,1,52,0.27,10.1,20,53.3,4.4,3.6,58.9,214.8,0.2,20.1,58.2,4.3,3.6,62.1,97.4,0.2,0.36,4.2
7,2024-04-01 14:00:00,9.8,16,8.9,15,65,3.4,56,75,75,1.2,55,55,52,58,33,1,52,0.25,10.1,20.2,57.9,4.3,3.6,63.2,152.6,0.2,20.5,55.3,4.3,3.6,59.5,224.1,0.2,0.35,4.2
8,2024-04-01 16:00:00,9.4,15,9.1,15,64,3.5,57,75,75,1.1,55,55,52,53,35,1,52,0.28,10.1,20.9,53.7,4.3,3.6,59.2,194.4,0.2,21.2,56.8,4.3,3.6,60.3,92.4,0.2,0.37,4.2
9,2024-04-01 18:00:00,9.7,15,9.2,15,65,3.6,56,75,75,1.3,55,55,52,55,33,1,52,0.27,10,21.3,55.9,4.1,3.6,61.2,228,0.2,21.4,58,4,3.5,62.4,100.5,0.2,0.38,4.2
